% Model:              h7-version2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 15 2022, 17:24
% Table:              Eigenfrequencies (Study 1) - 
% a                                               lambda (Hz)                                       Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
0.1                                               0.0052174375139834575i                            0.03278212672898845i                              1                                                 0.5
0.1                                               0.007406872373122339i                             0.046538751666956674i                             1                                                 0.5
0.1                                               0.003449610586560224                              0.021674542552966355                              0                                                 Inf
0.1                                               0.003689951865431726                              0.023184651345080527                              0                                                 Inf
0.1                                               0.005769492722815941                              0.03625079190587666                               0                                                 Inf
0.1                                               0.006098379668658094                              0.03831724953171525                               0                                                 Inf
0.1                                               8448.145684749203                                 53081.26483932882                                 0                                                 Inf
0.1                                               8839.689101244803                                 55541.40468097687                                 0                                                 Inf
0.1                                               12557.465214189438                                78900.88092921383                                 0                                                 Inf
0.1                                               20013.340398770582                                125747.52634113896                                0                                                 Inf
0.1                                               20068.926233224698                                126096.78243946838                                0                                                 Inf
0.1                                               20079.791468486572                                126165.05072602484                                0                                                 Inf
0.1                                               26550.333540945427                                166820.66560518567                                0                                                 Inf
0.1                                               32888.06875617106                                 206641.830390286                                  0                                                 Inf
0.1                                               32982.22940835223                                 207233.45921658518                                0                                                 Inf
0.2                                               0.0026746636143556244i                            0.016805407123367106i                             1                                                 0.5
0.2                                               0.00527500824420288i                              0.03314385429522672i                              1                                                 0.5
0.2                                               0.003869406274378909                              0.024312196650686065                              0                                                 Inf
0.2                                               0.004268695650452211                              0.026821005791742736                              0                                                 Inf
0.2                                               0.006115383008630541                              0.03842408466760311                               0                                                 Inf
0.2                                               0.006724584942452586                              0.04225181330729917                               0                                                 Inf
0.2                                               7907.519426014789                                 49684.40987377328                                 0                                                 Inf
0.2                                               8749.233533545319                                 54973.055587054885                                0                                                 Inf
0.2                                               12068.142879941463                                75826.37802819214                                 0                                                 Inf
0.2                                               19633.611908865973                                123361.62187265283                                0                                                 Inf
0.2                                               19757.326931388045                                124138.9462844409                                 0                                                 Inf
0.2                                               19975.844570129695                                125511.93310154202                                0                                                 Inf
0.2                                               27191.073288343563                                170846.5521717636                                 0                                                 Inf
0.2                                               32992.35788820257                                 207297.0983323649                                 0                                                 Inf
0.2                                               33163.112476227834                                208369.98105097876                                0                                                 Inf
0.30000000000000004                               0.0036068673868980346i                            0.02266261617030296i                              1                                                 0.5
0.30000000000000004                               0.0039170166937173255i                            0.024611341737941862i                             1                                                 0.5
0.30000000000000004                               0.0036841380122179723                             0.02314812182798977                               0                                                 Inf
0.30000000000000004                               0.004793694448920933                              0.03011967052856835                               0                                                 Inf
0.30000000000000004                               0.005915658180943981                              0.03716917656480394                               0                                                 Inf
0.30000000000000004                               0.006751527532985503                              0.04242109859627295                               0                                                 Inf
0.30000000000000004                               7283.164094722339                                 45761.46962973731                                 0                                                 Inf
0.30000000000000004                               8623.218460789754                                 54181.27953343395                                 0                                                 Inf
0.30000000000000004                               11478.215559196296                                72119.75535418229                                 0                                                 Inf
0.30000000000000004                               19107.436799644736                                120055.56615739035                                0                                                 Inf
0.30000000000000004                               19347.973669133986                                121566.90388160017                                0                                                 Inf
0.30000000000000004                               19819.82856212761                                 124531.65561237851                                0                                                 Inf
